,lat,lon,fuel,time,speed,color
0,38.833333333333336,118.16666666666669,2.2814111015344767,0.5581433887546121,10,pa
1,38.833333333333336,118.33333333333331,2.2814111015352543,0.5581433887548023,13,pa
2,38.833333333333336,118.5,2.2814111015352543,0.5581433887548023,11,pa
3,38.833333333333336,118.66666666666669,2.2814111015344767,0.5581433887546121,10,pa
4,38.833333333333336,118.83333333333331,2.2814111015352543,0.5581433887548023,13,pa
5,38.833333333333336,119.0,2.2814111015352543,0.5581433887548023,13,pa
6,38.833333333333336,119.16666666666669,2.2814111015344767,0.5581433887546121,13,pa
7,38.833333333333336,119.33333333333331,2.2814111015352543,0.5581433887548023,13,pa
8,38.833333333333336,119.5,2.2814111015352543,0.5581433887548023,11,pa
9,38.833333333333336,119.66666666666669,5.4199056671153505,1.3259708054104835,13,pa
10,38.666666666666664,120.0,5.428799692314044,1.3281467137159741,11,pa
11,38.5,120.33333333333331,5.437667083887597,1.330316106149871,12,pa
12,38.333333333333336,120.66666666666669,5.446507673890924,1.332478941624691,10,pa
13,38.166666666666664,121.0,5.4553212955266135,1.3346351793337283,13,pa
14,38.0,121.33333333333331,5.464107783134086,1.3367847787484004,12,pa
15,37.833333333333336,121.66666666666669,5.472866972180044,1.338927699615913,10,pa
16,37.666666666666664,122.0,5.4815986992571295,1.341063901958931,10,pa
17,37.5,122.33333333333331,5.490302802071258,1.3431933460724792,10,pa
18,37.333333333333336,122.66666666666669,2.916025722789782,0.7134007884500997,12,pa
19,37.166666666666664,122.66666666666669,2.9159435113316565,0.7133806755551454,11,pa
20,37.0,122.66666666666669,5.516247758564186,1.3495407360401679,12,pa
21,36.833333333333336,122.33333333333331,5.5248397634295845,1.3516427555791035,13,pa
22,36.666666666666664,122.0,5.533403349035942,1.3537378223941146,13,pa
23,36.5,121.66666666666669,5.541938359628291,1.3558258983800102,12,pa
24,36.333333333333336,121.33333333333331,5.550444640516922,1.3579069456922135,10,pa
25,36.166666666666664,121.0,5.558922038074578,1.3599809267460743,11,pa
