,lat,lon,color
0,38.833333333333336,118.16666666666669,cs
1,38.666666666666664,118.16666666666669,cs
2,38.833333333333336,118.33333333333331,cs
3,39.0,118.16666666666669,cs
4,38.833333333333336,118.0,cs
5,38.666666666666664,118.33333333333331,cs
6,38.666666666666664,118.0,cs
7,39.0,118.0,cs
8,39.166666666666664,118.33333333333331,cs
9,39.166666666666664,118.0,cs
10,39.0,117.83333333333331,cs
11,38.666666666666664,117.83333333333331,cs
12,38.5,118.0,cs
13,38.5,118.33333333333331,cs
14,38.666666666666664,118.5,cs
15,38.5,118.5,cs
16,38.5,118.16666666666669,cs
17,38.833333333333336,118.5,cs
18,38.833333333333336,118.66666666666669,cs
19,38.333333333333336,118.16666666666669,cs
20,38.333333333333336,118.5,cs
21,38.5,118.66666666666669,cs
22,38.333333333333336,118.66666666666669,cs
23,38.333333333333336,118.33333333333331,cs
24,38.666666666666664,118.66666666666669,cs
25,38.666666666666664,118.83333333333331,cs
26,38.166666666666664,118.33333333333331,cs
27,38.166666666666664,118.66666666666669,cs
28,38.333333333333336,118.83333333333331,cs
29,38.166666666666664,118.83333333333331,cs
30,38.166666666666664,118.5,cs
31,38.5,118.83333333333331,cs
32,38.5,119.0,cs
33,38.166666666666664,119.0,cs
34,38.333333333333336,119.0,cs
35,38.333333333333336,119.16666666666669,cs
36,37.833333333333336,119.0,cs
37,38.0,119.16666666666669,cs
38,37.666666666666664,119.0,cs
39,37.833333333333336,119.16666666666669,cs
40,37.666666666666664,119.16666666666669,cs
41,38.0,119.33333333333331,cs
42,38.166666666666664,119.16666666666669,cs
43,37.5,119.16666666666669,cs
44,37.666666666666664,119.33333333333331,cs
45,37.5,119.33333333333331,cs
46,37.5,119.0,cs
47,37.833333333333336,119.33333333333331,cs
48,37.833333333333336,119.5,cs
49,37.333333333333336,119.33333333333331,cs
50,37.5,119.5,cs
51,37.333333333333336,119.5,cs
52,37.333333333333336,119.16666666666669,cs
53,37.666666666666664,119.5,cs
54,37.666666666666664,119.66666666666669,cs
55,37.166666666666664,119.16666666666669,cs
56,37.166666666666664,119.5,cs
57,37.333333333333336,119.66666666666669,cs
58,37.166666666666664,119.33333333333331,cs
59,37.5,119.66666666666669,cs
60,37.5,119.83333333333331,cs
